Query_number,doc_number
2,476484
2,392384
2,94384
2,226435
2,363306
2,459156
2,499131
2,295728
2,471740
2,66235
1215,370929
1215,86912
1215,106009
1215,249700
1215,459140
1215,416880
1215,119822
1215,307874
1215,31694
1215,109765
1288,175349
1288,373956
1288,340637
1288,16018
1288,365470
1288,223191
1288,481930
1288,386241
1288,442208
1288,33482
1576,416883
1576,398860
1576,101741
1576,254493
1576,478564
1576,42643
1576,67369
1576,84406
1576,281705
1576,183783
2235,47739
2235,150740
2235,397572
2235,180042
2235,481256
2235,30951
2235,248168
2235,462118
2235,257521
2235,477709
2798,333963
2798,150066
2798,110525
2798,16353
2798,272289
2798,354556
2798,469344
2798,488995
2798,373700
2798,316798
2962,221988
2962,43879
2962,500542
2962,450645
2962,481960
2962,258790
2962,191987
2962,65652
2962,51980
2962,134807
4696,345835
4696,193100
4696,23599
4696,150426
4696,110885
4696,235653
4696,100882
4696,38342
4696,226731
4696,42903
4947,185514
4947,83530
4947,331225
4947,219043
4947,154469
4947,14624
4947,243387
4947,422861
4947,400040
4947,486136
6217,169315
6217,104369
6217,246780
6217,140293
6217,198103
6217,244422
6217,403663
6217,23795
6217,214838
6217,99219
6791,334896
6791,133211
6791,535
6791,284287
6791,119433
6791,6245
6791,373863
6791,337882
6791,467665
6791,381059
7968,455301
7968,105119
7968,40213
7968,147195
7968,36788
7968,104820
7968,5421
7968,348413
7968,60083
7968,40791
8714,280063
8714,296609
8714,174549
8714,293883
8714,342389
8714,485766
8714,96824
8714,354318
8714,54770
8714,333421
8854,209677
8854,386133
8854,231476
8854,60310
8854,5229
8854,77926
8854,40097
8854,139556
8854,259032
8854,164592
9454,144158
9454,374301
9454,388443
9454,442445
9454,342299
9454,301902
9454,53441
9454,122307
9454,148754
9454,227230
9926,49701
9926,303805
9926,246448
9926,390936
9926,224578
9926,222891
9926,363281
9926,78772
9926,404210
9926,10990
10157,496362
10157,296846
10157,211354
10157,332835
10157,309229
10157,142842
10157,184308
10157,167302
10157,497813
10157,435665
10205,291075
10205,346675
10205,488845
10205,407712
10205,385422
10205,459457
10205,98612
10205,35324
10205,378508
10205,198723
10264,328562
10264,96187
10264,196969
10264,129776
10264,321306
10264,223021
10264,321268
10264,340291
10264,71439
10264,90576
10276,23436
10276,18237
10276,275047
10276,422506
10276,263933
10276,423496
10276,370734
10276,269031
10276,20856
10276,409298
10312,463217
10312,39245
10312,1448
10312,457825
10312,173104
10312,472806
10312,416221
10312,196385
10312,378923
10312,181604
11006,208318
11006,334314
11006,496516
11006,418422
11006,323064
11006,114748
11006,392199
11006,285431
11006,93938
11006,461543
11133,304074
11133,101027
11133,342754
11133,127621
11133,351653
11133,24553
11133,243866
11133,14437
11133,143277
11133,331016
12741,320542
12741,337244
12741,16845
12741,171444
12741,307865
12741,467712
12741,331935
12741,138484
12741,496815
12741,229117
12903,51924
12903,67091
12903,39483
12903,156833
12903,104444
12903,431521
12903,3134
12903,240786
12903,225537
12903,253373
13397,213768
13397,382583
13397,460101
13397,399850
13397,424732
13397,206018
13397,314060
13397,438911
13397,423802
13397,9979
14151,276037
14151,60291
14151,280325
14151,93857
14151,310974
14151,203672
14151,330910
14151,474941
14151,102808
14151,155351
14963,276907
14963,101438
14963,189396
14963,407395
14963,73358
14963,197389
14963,412037
14963,133355
14963,83383
14963,152054
15039,94186
15039,413556
15039,338607
15039,28169
15039,199540
15039,310930
15039,281816
15039,6989
15039,193474
15039,495061
15063,449447
15063,29153
15063,198601
15063,377859
15063,228708
15063,400513
15063,30528
15063,342958
15063,464325
15063,41855
15382,285410
15382,253684
15382,364922
15382,188046
15382,455120
15382,374099
15382,195400
15382,365258
15382,212523
15382,20538
15607,233295
15607,438859
15607,240675
15607,91936
15607,47436
15607,181246
15607,248409
15607,488990
15607,38226
15607,455633
16860,68509
16860,254656
16860,328276
16860,469157
16860,491459
16860,168536
16860,200205
16860,268329
16860,285751
16860,101695
17586,189704
17586,472770
17586,367056
17586,175811
17586,185365
17586,290385
17586,271003
17586,432153
17586,268945
17586,370534
17635,400854
17635,231467
17635,220063
17635,356945
17635,82404
17635,454677
17635,34507
17635,62419
17635,137292
17635,176326
17848,30304
17848,452634
17848,206743
17848,413809
17848,223422
17848,245451
17848,179360
17848,357981
17848,129002
17848,381347
18101,232352
18101,402478
18101,100396
18101,363771
18101,245100
18101,72347
18101,377859
18101,392391
18101,277042
18101,136903
18840,147170
18840,331824
18840,115539
18840,440789
18840,103606
18840,355186
18840,317780
18840,169788
18840,264108
18840,128034
19457,373790
19457,118111
19457,64727
19457,23658
19457,260425
19457,86530
19457,77058
19457,331128
19457,112394
19457,415790
19552,168145
19552,246945
19552,386452
19552,354339
19552,333417
19552,150143
19552,488440
19552,8487
19552,13125
19552,189353
19940,135023
19940,384399
19940,45401
19940,499009
19940,354766
19940,422598
19940,72124
19940,425811
19940,327550
19940,394864
20356,116526
20356,290687
20356,29237
20356,450406
20356,242966
20356,385381
20356,467393
20356,176844
20356,483522
20356,237948
20597,44694
20597,288668
20597,165863
20597,220308
20597,223783
20597,70956
20597,12053
20597,15171
20597,266
20597,490597
20671,365672
20671,255432
20671,377893
20671,54570
20671,339540
20671,493839
20671,169620
20671,137406
20671,164725
20671,374876
21741,191116
21741,808
21741,143506
21741,127911
21741,141633
21741,265450
21741,5646
21741,490687
21741,49464
21741,295127
21765,332564
21765,404325
21765,8866
21765,284121
21765,28829
21765,333106
21765,415674
21765,15086
21765,368766
21765,89197
21861,324842
21861,373910
21861,20444
21861,389963
21861,306555
21861,440521
21861,25342
21861,388950
21861,155862
21861,160947
21948,208510
21948,308257
21948,120594
21948,424921
21948,281447
21948,191805
21948,427769
21948,201921
21948,498612
21948,421074
22231,267572
22231,377498
22231,218285
22231,82190
22231,406649
22231,209694
22231,297922
22231,219599
22231,223989
22231,24163
22479,361481
22479,317069
22479,149409
22479,54510
22479,374983
22479,486636
22479,423226
22479,459874
22479,202753
22479,27994
22670,232776
22670,83726
22670,214533
22670,221698
22670,156738
22670,73739
22670,418328
22670,181025
22670,260861
22670,44647
22882,338257
22882,270990
22882,285513
22882,143506
22882,267545
22882,297736
22882,64124
22882,357531
22882,76795
22882,357730
24115,427419
24115,458771
24115,157294
24115,343494
24115,345627
24115,405755
24115,157552
24115,241263
24115,113996
24115,224010
24441,411963
24441,431455
24441,77056
24441,472599
24441,207354
24441,418687
24441,183847
24441,53190
24441,213980
24441,235914
24979,79226
24979,305440
24979,480413
24979,380534
24979,173561
24979,330627
24979,378779
24979,86240
24979,475329
24979,110308
25025,64124
25025,29319
25025,303763
25025,192107
25025,39611
25025,384919
25025,457646
25025,17326
25025,484316
25025,143506
25036,157859
25036,152079
25036,253826
25036,195120
25036,11347
25036,433433
25036,285440
25036,404097
25036,277438
25036,433944
25294,78614
25294,73157
25294,496351
25294,295766
25294,324180
25294,262616
25294,25134
25294,325919
25294,228524
25294,494987
25344,257734
25344,456415
25344,16319
25344,86770
25344,482288
25344,489637
25344,313650
25344,164354
25344,455898
25344,200079
25534,438958
25534,273085
25534,335077
25534,424673
25534,66012
25534,357206
25534,73328
25534,119281
25534,72153
25534,372177
25603,347292
25603,371044
25603,278034
25603,430185
25603,161346
25603,226891
25603,219559
25603,202627
25603,138986
25603,208500
26079,1055
26079,410850
26079,431093
26079,319906
26079,430865
26079,452847
26079,348525
26079,409337
26079,195792
26079,359135
26207,180578
26207,13477
26207,224441
26207,486915
26207,273065
26207,354849
26207,68779
26207,47830
26207,16761
26207,323871
26485,23120
26485,229605
26485,311249
26485,282051
26485,365049
26485,472609
26485,88265
26485,300719
26485,81178
26485,109366
27618,250168
27618,252355
27618,33317
27618,119893
27618,303853
27618,335750
27618,120520
27618,375912
27618,450479
27618,291093
27743,192484
27743,389363
27743,269422
27743,373641
27743,116597
27743,84511
27743,35248
27743,229552
27743,323026
27743,448067
27932,206463
27932,382087
27932,395595
27932,219556
27932,233581
27932,92276
27932,13307
27932,227424
27932,414544
27932,157943
28216,219556
28216,446055
28216,395595
28216,382087
28216,233581
28216,414544
28216,83094
28216,206463
28216,217682
28216,24466
28352,334832
28352,236629
28352,19781
28352,352188
28352,142119
28352,245606
28352,294006
28352,229045
28352,238019
28352,497234
28442,15184
28442,46271
28442,344581
28442,117726
28442,309797
28442,299532
28442,343689
28442,301328
28442,418259
28442,317998
29097,378732
29097,65077
29097,389361
29097,83455
29097,364038
29097,207909
29097,111742
29097,432324
29097,306526
29097,232276
29169,35120
29169,123064
29169,302741
29169,109984
29169,403063
29169,26540
29169,171726
29169,179929
29169,152430
29169,118649
29416,123064
29416,302741
29416,109984
29416,260097
29416,118649
29416,321117
29416,179929
29416,75001
29416,375953
29416,35120
29612,272893
29612,179734
29612,282830
29612,457322
29612,154004
29612,311614
29612,319881
29612,97900
29612,172502
29612,389119
30039,252493
30039,272442
30039,330499
30039,241235
30039,73607
30039,204558
30039,315276
30039,259336
30039,267936
30039,194554
30188,492792
30188,474628
30188,481854
30188,496621
30188,374379
30188,140811
30188,89737
30188,178201
30188,267154
30188,376687
30860,113993
30860,498231
30860,125318
30860,250241
30860,35672
30860,464504
30860,486136
30860,241754
30860,343567
30860,497408
30956,389523
30956,427791
30956,218026
30956,106355
30956,240516
30956,487663
30956,491467
30956,311428
30956,229949
30956,483261
31432,291326
31432,121392
31432,264266
31432,102268
31432,449054
31432,52509
31432,256489
31432,53743
31432,179762
31432,440157
31595,391999
31595,275986
31595,360014
31595,312786
31595,397252
31595,339325
31595,252143
31595,266647
31595,93813
31595,138970
32176,20668
32176,403586
32176,197185
32176,339690
32176,415561
32176,484599
32176,439900
32176,92382
32176,232028
32176,113654
32642,302769
32642,338291
32642,408258
32642,296489
32642,459896
32642,402036
32642,90123
32642,334182
32642,218584
32642,161107
34015,465982
34015,37687
34015,2874
34015,77121
34015,150801
34015,219813
34015,247493
34015,44902
34015,200920
34015,178579
34039,53673
34039,337949
34039,328992
34039,466313
34039,421303
34039,329185
34039,352394
34039,136321
34039,118476
34039,494029
35996,314670
35996,421946
35996,127578
35996,301053
35996,4760
35996,6920
35996,460094
35996,290911
35996,390957
35996,186824
36214,384014
36214,278888
36214,497898
36214,67606
36214,165085
36214,101093
36214,400240
36214,345123
36214,464443
36214,433502
36388,237351
36388,291869
36388,122425
36388,391653
36388,307096
36388,394180
36388,144505
36388,441317
36388,458601
36388,43043
36473,237351
36473,203788
36473,93080
36473,73384
36473,285601
36473,163372
36473,150596
36473,146843
36473,307630
36473,260416
36703,133485
36703,35652
36703,1532
36703,405820
36703,42058
36703,213832
36703,22800
36703,21250
36703,389383
36703,52193
36965,136028
36965,491647
36965,299383
36965,284779
36965,416707
36965,253838
36965,436510
36965,105042
36965,134304
36965,205247
37685,61560
37685,327979
37685,454946
37685,186251
37685,256980
37685,289450
37685,91690
37685,476472
37685,141030
37685,116429
37952,97162
37952,280430
37952,337767
37952,366681
37952,395183
37952,447720
37952,122425
37952,495328
37952,124630
37952,310870
38098,264406
38098,28232
38098,466152
38098,103755
38098,363531
38098,275994
38098,491114
38098,5879
38098,56438
38098,401407
38608,330481
38608,236835
38608,81212
38608,4827
38608,383038
38608,41686
38608,235758
38608,190340
38608,257783
38608,378604
39360,390578
39360,427791
39360,485015
39360,240012
39360,218026
39360,300438
39360,423889
39360,30047
39360,389523
39360,106355
39577,427791
39577,106355
39577,218026
39577,389523
39577,300438
39577,30047
39577,405513
39577,150782
39577,495135
39577,14324
40056,136758
40056,407594
40056,149993
40056,421399
40056,249413
40056,455813
40056,251973
40056,482384
40056,144917
40056,424337
40337,376080
40337,244870
40337,382591
40337,280057
40337,305198
40337,395871
40337,291973
40337,331463
40337,187550
40337,332402
42361,473842
42361,154966
42361,360925
42361,465368
42361,427508
42361,394343
42361,270294
42361,239876
42361,112445
42361,316243
42555,103607
42555,187846
42555,282355
42555,289735
42555,416279
42555,72364
42555,432108
42555,400744
42555,195097
42555,1228
42568,276923
42568,2355
42568,109291
42568,223478
42568,424337
42568,469872
42568,339149
42568,330935
42568,325169
42568,403997
43781,237351
43781,122425
43781,73384
43781,93080
43781,133871
43781,203788
43781,391653
43781,392902
43781,25881
43781,262918
44072,82579
44072,181065
44072,153542
44072,490751
44072,446556
44072,61548
44072,450098
44072,371958
44072,277555
44072,395245
44686,425112
44686,297027
44686,442850
44686,188468
44686,328703
44686,420149
44686,223903
44686,401238
44686,276109
44686,241367
46081,166423
46081,500640
46081,81783
46081,325454
46081,473917
46081,348500
46081,286244
46081,218769
46081,424401
46081,72334
46095,365708
46095,248001
46095,477113
46095,886
46095,129935
46095,152987
46095,127388
46095,426958
46095,317751
46095,184309
46579,323958
46579,98439
46579,480975
46579,192955
46579,255757
46579,421017
46579,125449
46579,422046
46579,22086
46579,206574
47270,60538
47270,337888
47270,355794
47270,179762
47270,450184
47270,49196
47270,305009
47270,156474
47270,218354
47270,333505
47588,128203
47588,397226
47588,185524
47588,475735
47588,302524
47588,193184
47588,427038
47588,491388
47588,322238
47588,172861
47716,225243
47716,80689
47716,201502
47716,76077
47716,498879
47716,420169
47716,43327
47716,55607
47716,245016
47716,159021
47741,464197
47741,2966
47741,102997
47741,377752
47741,98393
47741,138548
47741,132445
47741,159337
47741,89994
47741,385752
47864,418926
47864,282485
47864,450755
47864,422592
47864,246602
47864,200962
47864,103758
47864,473959
47864,269378
47864,320829
48417,293427
48417,353232
48417,150267
48417,328057
48417,475087
48417,468643
48417,448396
48417,413751
48417,315247
48417,333707
49234,314656
49234,87054
49234,149932
49234,149233
49234,236002
49234,68912
49234,446010
49234,321047
49234,222428
49234,55484
49435,357411
49435,375461
49435,30257
49435,103991
49435,341967
49435,201091
49435,464358
49435,313411
49435,333053
49435,436783
49802,131226
49802,455358
49802,109236
49802,369183
49802,235297
49802,333768
49802,395029
49802,429483
49802,239542
49802,461944
49943,453904
49943,110982
49943,433387
49943,350913
49943,492433
49943,248707
49943,440118
49943,55384
49943,48023
49943,497588
50833,136726
50833,195429
50833,80675
50833,493527
50833,307410
50833,171005
50833,124788
50833,42861
50833,190161
50833,274318
50891,151583
50891,230060
50891,228831
50891,483086
50891,446211
50891,308508
50891,467278
50891,205119
50891,311182
50891,435076
51054,23280
51054,41761
51054,170753
51054,460862
51054,382567
51054,341720
51054,380757
51054,203352
51054,446059
51054,314093
51090,107857
51090,132537
51090,450166
51090,398046
51090,538
51090,487701
51090,347621
51090,194963
51090,188007
51090,185392
51276,416069
51276,23237
51276,215441
51276,125496
51276,282279
51276,163436
51276,65792
51276,479140
51276,221711
51276,299141
53109,17295
53109,20665
53109,426960
53109,390441
53109,220361
53109,83371
53109,45404
53109,234838
53109,270216
53109,182051
53813,381100
53813,190267
53813,278190
53813,260849
53813,370372
53813,206372
53813,417805
53813,216797
53813,341481
53813,12940
53814,12940
53814,339419
53814,457006
53814,190267
53814,260849
53814,23582
53814,327142
53814,216797
53814,341481
53814,206372
53897,251933
53897,270342
53897,351581
53897,358055
53897,488091
53897,500584
53897,368428
53897,267531
53897,428824
53897,289086
54040,344885
54040,66756
54040,198969
54040,47786
54040,31495
54040,243877
54040,485174
54040,324340
54040,374025
54040,260588
54199,212682
54199,462678
54199,440542
54199,162908
54199,354474
54199,242096
54199,160995
54199,465514
54199,423056
54199,205578
54235,186807
54235,379218
54235,487651
54235,269220
54235,134236
54235,238341
54235,90114
54235,67568
54235,119899
54235,315303
54307,362501
54307,357769
54307,460624
54307,342963
54307,130417
54307,199963
54307,361664
54307,117383
54307,253218
54307,197107
54531,94149
54531,69785
54531,8379
54531,372181
54531,17037
54531,114589
54531,221292
54531,393394
54531,50289
54531,400294
54544,277314
54544,341513
54544,352356
54544,183741
54544,63045
